metric_name,timestamp,metric_value
s3.storage,2019-12-08 04:00:00,43108.472
s3.storage,2019-12-08 05:00:00,43114.476
s3.storage,2019-12-08 06:00:00,43119.58
s3.storage,2019-12-08 07:00:00,43122.825
s3.storage,2019-12-08 08:00:00,43125.514
s3.storage,2019-12-08 09:00:00,43128.352
s3.storage,2019-12-08 10:00:00,43130.727
s3.storage,2019-12-08 11:00:00,43134.455
s3.storage,2019-12-08 12:00:00,43135.709
s3.storage,2019-12-08 13:00:00,43137.609
s3.storage,2019-12-08 14:00:00,43139.039
s3.storage,2019-12-08 15:00:00,43140.987
s3.storage,2019-12-08 16:00:00,43144.434
s3.storage,2019-12-08 17:00:00,43148.602
s3.storage,2019-12-08 18:00:00,43149.975
s3.storage,2019-12-08 19:00:00,43152.088
s3.storage,2019-12-08 20:00:00,43153.175
s3.storage,2019-12-08 21:00:00,43153.183
s3.storage,2019-12-08 22:00:00,43153.183
s3.storage,2019-12-08 23:00:00,43153.38
s3.storage,2019-12-09 00:00:00,43153.529
s3.storage,2019-12-09 01:00:00,43153.822
s3.storage,2019-12-09 02:00:00,43154.438
s3.storage,2019-12-09 03:00:00,43165.523
s3.storage,2019-12-09 04:00:00,43175.993
s3.storage,2019-12-09 05:00:00,43179.804
s3.storage,2019-12-09 06:00:00,43181.86
s3.storage,2019-12-09 07:00:00,43184.415
s3.storage,2019-12-09 08:00:00,43186.116
s3.storage,2019-12-09 09:00:00,43188.651
s3.storage,2019-12-09 10:00:00,43194.992
s3.storage,2019-12-09 11:00:00,43196.472
s3.storage,2019-12-09 12:00:00,43198.11
s3.storage,2019-12-09 13:00:00,43202.57
s3.storage,2019-12-09 14:00:00,43207.839
s3.storage,2019-12-09 15:00:00,43212.72
s3.storage,2019-12-09 16:00:00,43224.228
s3.storage,2019-12-09 17:00:00,43229.029
s3.storage,2019-12-09 18:00:00,43235.311
s3.storage,2019-12-09 19:00:00,43238.809
s3.storage,2019-12-09 20:00:00,43241.67
s3.storage,2019-12-09 21:00:00,43241.795
s3.storage,2019-12-09 22:00:00,43241.795
s3.storage,2019-12-09 23:00:00,43241.795
s3.storage,2019-12-10 00:00:00,43242.517
s3.storage,2019-12-10 01:00:00,43243.902
s3.storage,2019-12-10 02:00:00,43244.766
s3.storage,2019-12-10 03:00:00,43246.547
s3.storage,2019-12-10 04:00:00,43248.201
s3.storage,2019-12-10 05:00:00,43249.558
s3.storage,2019-12-10 06:00:00,43256.883
s3.storage,2019-12-10 07:00:00,43258.873
s3.storage,2019-12-10 08:00:00,43261.033
s3.storage,2019-12-10 09:00:00,43263.865
s3.storage,2019-12-10 10:00:00,43264.844
s3.storage,2019-12-10 11:00:00,43306.113
s3.storage,2019-12-10 12:00:00,43324.599
s3.storage,2019-12-10 13:00:00,43325.217
s3.storage,2019-12-10 14:00:00,43328.351
s3.storage,2019-12-10 15:00:00,43330.456
s3.storage,2019-12-10 16:00:00,43337.821
s3.storage,2019-12-10 17:00:00,43346.574
s3.storage,2019-12-10 18:00:00,43348.241
s3.storage,2019-12-10 19:00:00,43349.07
