metric_name,date,p10,p50,p90
s3.data_transfer,2019-12-30T07:00:00Z,18567.646336180645,37127.54172806228,55687.43711994391
s3.data_transfer,2019-12-30T08:00:00Z,18343.03704127427,36917.102939084245,55491.16883689422
s3.data_transfer,2019-12-30T09:00:00Z,16264.482196031218,34852.707797061186,53440.933398091154
s3.data_transfer,2019-12-30T10:00:00Z,12624.57140124504,31226.945927454977,49829.320453664914
s3.data_transfer,2019-12-30T11:00:00Z,9123.56346509984,27740.076163024307,46356.588860948774
s3.data_transfer,2019-12-30T12:00:00Z,8229.366695144072,26860.006835798966,45490.64697645386
s3.data_transfer,2019-12-30T13:00:00Z,11485.169621307065,30129.92650009687,48774.68337888668
s3.data_transfer,2019-12-30T14:00:00Z,17968.9293893883,36627.79232601384,55286.65526263938
s3.data_transfer,2019-12-30T15:00:00Z,24295.186693120566,42968.14503148722,61641.103369853874
s3.data_transfer,2019-12-30T16:00:00Z,26476.121803934268,45163.16491206069,63850.208020187114
s3.data_transfer,2019-12-30T17:00:00Z,22447.330773182613,41148.44804310993,59849.565313037245
s3.data_transfer,2019-12-30T18:00:00Z,13427.08868815727,32142.269535858744,50857.45038356022
s3.data_transfer,2019-12-30T19:00:00Z,3121.4819543685844,21850.71581965978,40579.949684950974
s3.data_transfer,2019-12-30T20:00:00Z,-4573.281092459236,14169.995253990148,32913.27160043953
s3.data_transfer,2019-12-30T21:00:00Z,-7661.289776616482,11096.018538223561,29853.326853063605
s3.data_transfer,2019-12-30T22:00:00Z,-6575.913361910345,12195.416432128379,30966.746226167103
s3.data_transfer,2019-12-30T23:00:00Z,-3144.622741134919,15640.718066398078,34426.05887393108
s3.data_transfer,2019-12-31T00:00:00Z,889.2648580395835,19688.60623676248,38487.94761548538
s3.data_transfer,2019-12-31T01:00:00Z,4651.348561671293,23464.68009259269,42278.01162351409
s3.data_transfer,2019-12-31T02:00:00Z,7979.852126467806,26807.16341382267,45634.47470117753
s3.data_transfer,2019-12-31T03:00:00Z,10910.068223282706,29751.34889444618,48592.62956560965
s3.data_transfer,2019-12-31T04:00:00Z,13424.429819980156,32279.669525381854,51134.90923078355
s3.data_transfer,2019-12-31T05:00:00Z,15517.576318955558,34386.76473199429,53255.953145033025
s3.data_transfer,2019-12-31T06:00:00Z,17195.831250840256,36078.95806779919,54962.08488475812
s3.data_transfer,2019-12-31T07:00:00Z,18230.486788100017,37127.54172806228,56024.59666802454
s3.data_transfer,2019-12-31T08:00:00Z,18006.13013431953,36917.102939084245,55828.07574384896
s3.data_transfer,2019-12-31T09:00:00Z,15927.827363062428,34852.707797061186,53777.58823105994
s3.data_transfer,2019-12-31T10:00:00Z,12288.168077241211,31226.945927454977,50165.72377766874
s3.data_transfer,2019-12-31T11:00:00Z,8787.41108714788,27740.076163024307,46692.74123890074
s3.data_transfer,2019-12-31T12:00:00Z,7893.46470242778,26860.006835798966,45826.54896917015
s3.data_transfer,2019-12-31T13:00:00Z,11149.517455096211,30129.92650009687,49110.33554509753
s3.data_transfer,2019-12-31T14:00:00Z,17633.52649302779,36627.79232601384,55622.05815899989
s3.data_transfer,2019-12-31T15:00:00Z,23960.03251201965,42968.14503148722,61976.25755095479
s3.data_transfer,2019-12-31T16:00:00Z,26141.215785555847,45163.16491206069,64185.11403856553
s3.data_transfer,2019-12-31T17:00:00Z,22112.672367032614,41148.44804310993,60184.22371918724
s3.data_transfer,2019-12-31T18:00:00Z,13092.677345774067,32142.269535858744,51191.861725943425
s3.data_transfer,2019-12-31T19:00:00Z,2787.3171293125197,21850.71581965978,40914.11451000704
s3.data_transfer,2019-12-31T20:00:00Z,-4907.199944616279,14169.995253990148,33247.19045259657
s3.data_transfer,2019-12-31T21:00:00Z,-7994.963198301422,11096.018538223561,30187.000274748545
s3.data_transfer,2019-12-31T22:00:00Z,-6909.341893559205,12195.416432128379,31300.174757815963
s3.data_transfer,2019-12-31T23:00:00Z,-3477.8069212030186,15640.718066398078,34759.24305399918
s3.data_transfer,2020-01-01T00:00:00Z,556.3244930674555,19688.60623676248,38820.887980457504
s3.data_transfer,2020-01-01T01:00:00Z,4318.651477270803,23464.68009259269,42610.70870791458
s3.data_transfer,2020-01-01T02:00:00Z,7647.3977900650825,26807.16341382267,45966.92903758025
s3.data_transfer,2020-01-01T03:00:00Z,10577.856104244354,29751.34889444618,48924.841684648
s3.data_transfer,2020-01-01T04:00:00Z,13092.459389603391,32279.669525381854,51466.87966116032
s3.data_transfer,2020-01-01T05:00:00Z,15185.847050458386,34386.76473199429,53587.6824135302
