metric_name,date,p10,p50,p90
s3.storage,2019-12-29T20:00:00Z,44857.18758964974,44913.24925800569,44969.31092636165
s3.storage,2019-12-29T21:00:00Z,44857.69255287718,44914.088674490165,44970.48479610315
s3.storage,2019-12-29T22:00:00Z,44858.22504698313,44914.953650060575,44971.682253138024
s3.storage,2019-12-29T23:00:00Z,44858.57623988165,44915.63538709971,44972.69453431777
s3.storage,2019-12-30T00:00:00Z,44858.783879170485,44916.171666681286,44973.55945419209
s3.storage,2019-12-30T01:00:00Z,44859.45685067386,44917.171407152426,44974.88596363099
s3.storage,2019-12-30T02:00:00Z,44861.36545330213,44919.40493903083,44977.444424759524
s3.storage,2019-12-30T03:00:00Z,44864.72095383363,44923.08355982226,44981.44616581089
s3.storage,2019-12-30T04:00:00Z,44868.91427754898,44927.59822468887,44986.28217182875
s3.storage,2019-12-30T05:00:00Z,44873.0197057502,44932.02324400046,44991.02678225072
s3.storage,2019-12-30T06:00:00Z,44876.57791863232,44935.89932623685,44995.22073384139
s3.storage,2019-12-30T07:00:00Z,44879.874850189095,44939.51243292277,44999.15001565644
s3.storage,2019-12-30T08:00:00Z,44883.44603067651,44943.39812111921,45003.350211561905
s3.storage,2019-12-30T09:00:00Z,44887.34295677647,44947.60791361361,45007.87287045075
s3.storage,2019-12-30T10:00:00Z,44890.9660554232,44951.542262771596,45012.11847011999
s3.storage,2019-12-30T11:00:00Z,44893.69990507813,44954.585771835926,45015.47163859372
s3.storage,2019-12-30T12:00:00Z,44895.73607829247,44956.93003751217,45018.12399673186
s3.storage,2019-12-30T13:00:00Z,44898.20283204443,44959.70334032781,45021.20384861119
s3.storage,2019-12-30T14:00:00Z,44902.343578131775,44964.14911504593,45025.95465196009
s3.storage,2019-12-30T15:00:00Z,44908.41625736771,44970.52532488108,45032.634392394444
s3.storage,2019-12-30T16:00:00Z,44915.313200330056,44977.724322267684,45040.13544420531
s3.storage,2019-12-30T17:00:00Z,44921.28318978834,44983.994911305505,45046.70663282267
s3.storage,2019-12-30T18:00:00Z,44925.147171285855,44988.15805835927,45051.16894543269
s3.storage,2019-12-30T19:00:00Z,44926.974096622514,44990.28273555839,45053.59137449426
s3.storage,2019-12-30T20:00:00Z,44927.71570350785,44991.32070046599,45054.925697424136
s3.storage,2019-12-30T21:00:00Z,44928.26013641698,44992.16011695046,45056.06009748393
s3.storage,2019-12-30T22:00:00Z,44928.83148391136,44993.025092520875,45057.21870113039
s3.storage,2019-12-30T23:00:00Z,44929.22092985748,44993.70682956001,45058.19272926254
s3.storage,2019-12-31T00:00:00Z,44929.46623723056,44994.243109141586,45059.01998105261
s3.storage,2019-12-31T01:00:00Z,44930.17630668388,44995.242849612725,45060.30939254157
s3.storage,2019-12-31T02:00:00Z,44932.12145143345,44997.47638149113,45062.831311548805
s3.storage,2019-12-31T03:00:00Z,44935.51295206338,45001.155002282554,45066.79705250173
s3.storage,2019-12-31T04:00:00Z,44939.74174718266,45005.669667149166,45071.59758711567
s3.storage,2019-12-31T05:00:00Z,44943.88213096528,45010.09468646076,45076.307241956245
s3.storage,2019-12-31T06:00:00Z,44947.474796041846,45013.97076869715,45080.46674135246
s3.storage,2019-12-31T07:00:00Z,44950.80568842424,45017.58387538307,45084.3620623419
s3.storage,2019-12-31T08:00:00Z,44954.41034998702,45021.4695635795,45088.52877717198
s3.storage,2019-12-31T09:00:00Z,44958.34028864812,45025.67935607391,45093.0184234997
s3.storage,2019-12-31T10:00:00Z,44961.99594221131,45029.613705231895,45097.23146825248
s3.storage,2019-12-31T11:00:00Z,44964.76189965639,45032.65721429622,45100.552528936045
s3.storage,2019-12-31T12:00:00Z,44966.82974371635,45035.00147997247,45103.173216228584
s3.storage,2019-12-31T13:00:00Z,44969.32774122818,45037.77478278811,45106.22182434804
s3.storage,2019-12-31T14:00:00Z,44973.499313538734,45042.220557506225,45110.94180147372
s3.storage,2019-12-31T15:00:00Z,44979.602410712934,45048.596767341376,45117.59112396982
s3.storage,2019-12-31T16:00:00Z,44986.529372294804,45055.795764727976,45125.06215716115
s3.storage,2019-12-31T17:00:00Z,44992.528989745886,45062.066353765804,45131.60371778572
s3.storage,2019-12-31T18:00:00Z,44996.422217037914,45066.229500819565,45136.036784601216
s3.storage,2019-12-31T19:00:00Z,44998.278014146046,45068.354178018686,45138.430341891326
s3.storage,2019-12-31T20:00:00Z,44999.04812671142,45069.39214292629,45139.73615914116
s3.storage,2019-12-31T21:00:00Z,44999.62070690655,45070.23155941076,45140.842411914964
s3.storage,2019-12-31T22:00:00Z,45000.21985076483,45071.096534981174,45141.97321919752
s3.storage,2019-12-31T23:00:00Z,45000.63674940773,45071.77827202031,45142.91979463289
s3.storage,2020-01-01T00:00:00Z,45000.90917285651,45072.314551601885,45143.71993034726
s3.storage,2020-01-01T01:00:00Z,45001.64602860932,45073.314292073024,45144.98255553673
s3.storage,2020-01-01T02:00:00Z,45003.61763653309,45075.54782395142,45147.47801136975
s3.storage,2020-01-01T03:00:00Z,45007.03528367608,45079.22644474285,45151.41760580963
s3.storage,2020-01-01T04:00:00Z,45011.28991493124,45083.741109609466,45156.19230428769
s3.storage,2020-01-01T05:00:00Z,45015.45583058282,45088.16612892105,45160.87642725929
s3.storage,2020-01-01T06:00:00Z,45019.07372920416,45092.04221115745,45165.010693110744
s3.storage,2020-01-01T07:00:00Z,45022.42956258812,45095.65531784337,45168.881073098615
s3.storage,2020-01-01T08:00:00Z,45026.05887823423,45099.5410060398,45173.02313384537
s3.storage,2020-01-01T09:00:00Z,45030.01318953467,45103.7507985342,45177.48840753373
s3.storage,2020-01-01T10:00:00Z,45033.69293962201,45107.68514769219,45181.67735576237
s3.storage,2020-01-01T11:00:00Z,45036.48272266425,45110.72865675652,45184.97459084878
s3.storage,2020-01-01T12:00:00Z,45038.57412644674,45113.07292243276,45187.571718418774
s3.storage,2020-01-01T13:00:00Z,45041.09542272764,45115.84622524841,45190.59702776918
s3.storage,2020-01-01T14:00:00Z,45045.29003764798,45120.291999966525,45195.29396228507
s3.storage,2020-01-01T15:00:00Z,45051.4159259442,45126.668209801675,45201.92049365915
s3.storage,2020-01-01T16:00:00Z,45058.36543171314,45133.867207188276,45209.368982663414
s3.storage,2020-01-01T17:00:00Z,45064.38735085426,45140.137796226096,45215.88824159793
s3.storage,2020-01-01T18:00:00Z,45068.30264166618,45144.300943279864,45220.29924489355
s3.storage,2020-01-01T19:00:00Z,45070.180268343276,45146.42562047898,45222.67097261468
s3.storage,2020-01-01T20:00:00Z,45070.971980641814,45147.463585386584,45223.95519013135
s3.storage,2020-01-01T21:00:00Z,45071.565934748556,45148.303001871056,45225.040068993556
s3.storage,2020-01-01T22:00:00Z,45072.18623061343,45149.167977441466,45226.149724269504
s3.storage,2020-01-01T23:00:00Z,45072.62406317982,45149.8497144806,45227.075365781384
s3.storage,2020-01-02T00:00:00Z,45072.91720619918,45150.38599406218,45227.854781925176
